epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,10533.6,0.79552,0.68732,1.12121,0.90008,0.83828,0.89345,0.7261,0.77582,0.60897,1.13655,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,10659.3,0.78882,0.68774,1.12137,0.88855,0.83344,0.88692,0.72081,0.77805,0.62426,1.13677,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,10784.5,0.79338,0.67222,1.12002,0.87987,0.84036,0.88813,0.71547,0.78365,0.61888,1.13791,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,10942.9,0.77871,0.66741,1.11696,0.89727,0.83526,0.89097,0.72054,0.79531,0.62301,1.15019,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,11094.4,0.77428,0.65652,1.10942,0.90215,0.83078,0.89124,0.7192,0.78851,0.62229,1.15088,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,11217.9,0.77333,0.66844,1.11068,0.90696,0.83075,0.89082,0.71965,0.78406,0.6148,1.13873,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,11343.4,0.77062,0.66897,1.11469,0.88983,0.84194,0.89174,0.71969,0.77825,0.59831,1.14196,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,11467.2,0.77201,0.66409,1.10612,0.89268,0.84297,0.89666,0.72421,0.77775,0.60605,1.14333,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,11590,0.77427,0.66296,1.10932,0.90324,0.82889,0.89255,0.72277,0.77426,0.62034,1.13708,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,11712.3,0.7695,0.66138,1.10646,0.88411,0.84675,0.88958,0.72165,0.77758,0.62846,1.13729,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,11834.7,0.77236,0.6592,1.10908,0.8998,0.82782,0.8923,0.72596,0.76699,0.61143,1.13313,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,11957.6,0.76598,0.65036,1.11048,0.90478,0.82355,0.88704,0.71964,0.78117,0.61982,1.13895,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,12080.5,0.76736,0.66153,1.11018,0.89857,0.8281,0.89021,0.72467,0.77879,0.61865,1.13921,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,12202.6,0.75619,0.64357,1.10096,0.89168,0.83686,0.89125,0.72475,0.77465,0.61656,1.14224,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,12325,0.75778,0.64163,1.10231,0.8984,0.84199,0.89546,0.72904,0.76941,0.60773,1.13616,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,12447.1,0.75966,0.63969,1.10729,0.90412,0.83875,0.89389,0.72982,0.76115,0.59959,1.12988,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,12569.9,0.75915,0.64801,1.09949,0.90971,0.82842,0.89109,0.72789,0.75754,0.59952,1.12407,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,12691.7,0.7524,0.63883,1.09562,0.89152,0.8416,0.89202,0.72714,0.76805,0.60879,1.12814,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,12813.5,0.75723,0.65051,1.10529,0.89473,0.83542,0.89164,0.72832,0.75692,0.60109,1.1248,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,12935.3,0.75803,0.63663,1.10101,0.89481,0.84029,0.88775,0.72502,0.75664,0.60712,1.12279,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,13057.3,0.75589,0.63438,1.10226,0.90619,0.82878,0.88855,0.72393,0.75723,0.60978,1.11874,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,13180.2,0.75161,0.62944,1.09992,0.90266,0.83009,0.88523,0.72314,0.766,0.60947,1.12491,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,13304.5,0.75738,0.63373,1.10251,0.90211,0.83466,0.88088,0.71736,0.77709,0.61768,1.13878,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,13428.4,0.75396,0.63494,1.09878,0.90603,0.83307,0.88554,0.72269,0.7733,0.61239,1.13779,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,13573.5,0.74977,0.62794,1.09738,0.90899,0.83537,0.89385,0.72848,0.76759,0.60783,1.13072,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,13729.5,0.74568,0.61881,1.09326,0.89755,0.83801,0.89397,0.73182,0.75641,0.59852,1.1259,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,13889.6,0.74307,0.63044,1.0939,0.88708,0.8479,0.89486,0.7321,0.74954,0.59563,1.11996,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,14054.9,0.73775,0.6195,1.08413,0.90287,0.83314,0.89613,0.72997,0.75588,0.59557,1.1242,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,14215.3,0.73558,0.62035,1.09263,0.89016,0.84709,0.89472,0.73293,0.75624,0.59235,1.12689,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,14373.6,0.74514,0.61744,1.09187,0.89357,0.84272,0.89554,0.73367,0.75271,0.59756,1.12709,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,14531.7,0.73885,0.60933,1.09205,0.88332,0.85303,0.89638,0.73447,0.75593,0.59659,1.12662,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,14691,0.73137,0.60985,1.0874,0.8897,0.83844,0.8918,0.73386,0.75522,0.60419,1.12252,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,14850.1,0.73082,0.60832,1.08462,0.8923,0.83993,0.89145,0.73319,0.75065,0.60529,1.12132,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,15009.4,0.73116,0.60294,1.0834,0.90033,0.83499,0.89237,0.73255,0.74666,0.59546,1.12135,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,15153,0.72786,0.60599,1.08425,0.89919,0.83975,0.89421,0.73233,0.74995,0.59615,1.12284,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,15277.5,0.7267,0.61523,1.08856,0.89036,0.84729,0.89577,0.73501,0.75189,0.58905,1.12395,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,15404.5,0.72905,0.60732,1.08309,0.89316,0.84346,0.89511,0.73608,0.74633,0.59451,1.12161,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,15531.6,0.7195,0.59616,1.08257,0.90434,0.83841,0.89836,0.73706,0.74778,0.59517,1.12378,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,15659.7,0.72775,0.60478,1.08674,0.90941,0.83769,0.89636,0.73566,0.74632,0.58865,1.12279,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,15788.5,0.71879,0.60053,1.07704,0.9011,0.8394,0.89429,0.73726,0.73866,0.58799,1.11647,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,15917.9,0.72218,0.60258,1.08094,0.88939,0.84671,0.89493,0.73496,0.73863,0.58824,1.11718,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,16045.7,0.72717,0.59624,1.08757,0.90036,0.84846,0.89783,0.73707,0.74089,0.5854,1.11904,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,16173.3,0.72948,0.60713,1.08017,0.89682,0.85429,0.89793,0.7416,0.73078,0.57625,1.11136,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,16301.3,0.70931,0.59005,1.07012,0.90442,0.84199,0.90021,0.74214,0.72886,0.58648,1.10917,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,16432.2,0.71783,0.58927,1.07871,0.90147,0.84497,0.89978,0.73966,0.73803,0.585,1.1117,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,16563.5,0.72164,0.5921,1.07669,0.90825,0.83903,0.89744,0.74076,0.73769,0.5878,1.11029,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,16696.1,0.71655,0.59194,1.08218,0.89039,0.85275,0.89717,0.74179,0.73163,0.58442,1.1053,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,16826.9,0.71222,0.59027,1.0735,0.90452,0.83575,0.89867,0.74369,0.73767,0.59502,1.11034,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,16957.9,0.71028,0.59308,1.07307,0.90114,0.8374,0.90116,0.74357,0.7383,0.5908,1.11402,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,17088.7,0.71398,0.58747,1.07437,0.89984,0.84137,0.90154,0.74207,0.73595,0.58781,1.11287,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,17219.6,0.71392,0.59596,1.07622,0.894,0.84917,0.90003,0.74086,0.7354,0.58589,1.11471,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,17348.8,0.70434,0.58118,1.07363,0.89374,0.84799,0.8954,0.74061,0.73366,0.58676,1.11896,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,17479.5,0.70826,0.58053,1.06374,0.90217,0.84794,0.89546,0.74144,0.7296,0.58662,1.11618,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
